Shuffle_1_pred_train,Shuffle_1_train,Shuffle_2_pred_train,Shuffle_2_train,Shuffle_3_pred_train,Shuffle_3_train,Shuffle_4_pred_train,Shuffle_4_train,Shuffle_5_pred_train,Shuffle_5_train,Shuffle_6_pred_train,Shuffle_6_train,Shuffle_7_pred_train,Shuffle_7_train,Shuffle_8_pred_train,Shuffle_8_train,Shuffle_9_pred_train,Shuffle_9_train,Shuffle_10_pred_train,Shuffle_10_train,Shuffle_11_pred_train,Shuffle_11_train,Shuffle_12_pred_train,Shuffle_12_train,Shuffle_13_pred_train,Shuffle_13_train,Shuffle_14_pred_train,Shuffle_14_train,Shuffle_15_pred_train,Shuffle_15_train,Shuffle_16_pred_train,Shuffle_16_train,Shuffle_17_pred_train,Shuffle_17_train,Shuffle_18_pred_train,Shuffle_18_train,Shuffle_19_pred_train,Shuffle_19_train,Shuffle_20_pred_train,Shuffle_20_train,Shuffle_21_pred_train,Shuffle_21_train,Shuffle_22_pred_train,Shuffle_22_train,Shuffle_23_pred_train,Shuffle_23_train,Shuffle_24_pred_train,Shuffle_24_train,Shuffle_25_pred_train,Shuffle_25_train,Shuffle_26_pred_train,Shuffle_26_train,Shuffle_27_pred_train,Shuffle_27_train,Shuffle_28_pred_train,Shuffle_28_train,Shuffle_29_pred_train,Shuffle_29_train,Shuffle_30_pred_train,Shuffle_30_train,Shuffle_31_pred_train,Shuffle_31_train,Shuffle_32_pred_train,Shuffle_32_train,Shuffle_33_pred_train,Shuffle_33_train,Shuffle_34_pred_train,Shuffle_34_train,Shuffle_35_pred_train,Shuffle_35_train,Shuffle_36_pred_train,Shuffle_36_train,Shuffle_37_pred_train,Shuffle_37_train,Shuffle_38_pred_train,Shuffle_38_train,Shuffle_39_pred_train,Shuffle_39_train,Shuffle_40_pred_train,Shuffle_40_train,Shuffle_41_pred_train,Shuffle_41_train,Shuffle_42_pred_train,Shuffle_42_train,Shuffle_43_pred_train,Shuffle_43_train,Shuffle_44_pred_train,Shuffle_44_train,Shuffle_45_pred_train,Shuffle_45_train,Shuffle_46_pred_train,Shuffle_46_train,Shuffle_47_pred_train,Shuffle_47_train,Shuffle_48_pred_train,Shuffle_48_train,Shuffle_49_pred_train,Shuffle_49_train,Shuffle_50_pred_train,Shuffle_50_train
0.98110366,1,0.9791118,1,0.21945184,0,0.99196327,1,0.03015912,0,0.086792216,0,0.9952874,1,0.9518073,1,0.99108875,1,0.996166,1,0.99447036,1,0.7598436,0,0.988267,1,0.07641522,0,0.3672753,0,0.92032653,1,0.987644,1,0.93707186,1,0.94242734,1,0.8745733,1,0.94431067,1,0.98766124,1,0.97382283,1,0.98021966,1,0.9664128,1,0.9471658,1,0.92751354,1,0.96612173,1,0.2025515,0,0.17819043,0,0.9924638,1,0.9573136,1,0.98601854,1,0.15773138,0,0.98389417,1,0.98881,1,0.98898405,1,0.98381084,1,0.96883035,1,0.9923165,1,0.056624543,0,0.9759799,1,0.30771756,0,0.979629,1,0.9852278,1,0.9812354,1,0.99407876,1,0.99321073,1,0.9870344,1,0.97348684,1
0.057783283,0,0.87832886,1,0.9649141,1,0.888869,1,0.98346174,1,0.23260792,0,0.100869045,0,0.9861703,1,0.9673071,1,0.99872714,1,0.8713693,1,0.97772926,1,0.97080135,1,0.9911877,1,0.9805376,1,0.9696661,1,0.2394601,0,0.94594747,1,0.9622805,1,0.9134171,1,0.9427058,1,0.17573722,0,0.97124344,1,0.92961866,1,0.9653841,1,0.96564496,1,0.48648745,0,0.95818335,1,0.5412679,0,0.781239,1,0.9911152,1,0.08444759,0,0.04535087,0,0.9818283,1,0.97146297,1,0.15103278,0,0.9641216,1,0.067170896,0,0.15128298,0,0.19080462,0,0.9693587,1,0.96599025,1,0.9571262,1,0.15515158,0,0.96590614,1,0.28131276,0,0.98181516,1,0.99843675,1,0.91551757,1,0.9960045,1
0.9825251,1,0.97070247,1,0.9196243,1,0.9839245,1,0.99538344,1,0.97645026,1,0.95265234,1,0.97480845,1,0.89304864,1,0.061208032,0,0.9906697,1,0.2965288,0,0.17930502,0,0.9828876,1,0.9863174,1,0.99598926,1,0.9828775,1,0.9971413,1,0.9713496,1,0.9063403,1,0.9569088,1,0.9629413,1,0.96903485,1,0.09296472,0,0.948059,1,0.9948742,1,0.88757527,1,0.97476643,1,0.9844748,1,0.89444196,1,0.9392599,1,0.9934673,1,0.95722777,1,0.9451289,1,0.96067506,1,0.86440694,1,0.9917858,1,0.96793026,1,0.9574209,1,0.21391164,0,0.9792326,1,0.98314697,1,0.9039602,1,0.981729,1,0.991689,1,0.967911,1,0.9190039,1,0.98728555,1,0.98368526,1,0.99019814,1
0.988765,1,0.74277943,1,0.9812214,1,0.98230755,1,0.9885141,1,0.97181374,1,0.99379444,1,0.2803423,0,0.9832409,1,0.98918813,1,0.9298302,1,0.9555972,1,0.99114686,1,0.9993974,1,0.057200994,0,0.9679565,1,0.9598005,1,0.99937785,1,0.903926,1,0.89997584,1,0.08798212,0,0.9969446,1,0.9944127,1,0.981512,1,0.8289764,1,0.21499296,0,0.89709526,1,0.97046834,1,0.98270184,1,0.9447713,1,0.08175578,0,0.9293276,1,0.18190576,0,0.17454557,0,0.9887766,1,0.9762912,1,0.9874222,1,0.98637587,1,0.9754024,1,0.9812723,1,0.9634415,1,0.9755063,1,0.9529044,1,0.12633054,0,0.9694624,1,0.9736398,1,0.98347384,1,0.98493356,1,0.6535102,0,0.9923759,1
0.07840707,0,0.98422605,1,0.22527291,0,0.09125472,0,0.043665238,0,0.9485807,1,0.0947792,0,0.89130634,1,0.98887384,1,0.97946894,1,0.891274,1,0.9357511,1,0.99437076,1,0.9902255,1,0.2074661,0,0.9105175,1,0.96784896,1,0.9888754,1,0.986631,1,0.7064619,0,0.29132456,0,0.2458787,0,0.9828637,1,0.90084565,1,0.95299244,1,0.17086533,0,0.90512353,1,0.94981796,1,0.9932115,1,0.82225,1,0.9905122,1,0.93082243,1,0.15594251,0,0.9481629,1,0.9328604,1,0.35131082,0,0.9843024,1,0.99634653,1,0.9838442,1,0.97194403,1,0.91786766,1,0.97624797,1,0.97265416,1,0.98735017,1,0.1517237,0,0.9480901,1,0.9708501,1,0.98642784,1,0.9680293,1,0.9832575,1
0.98141575,1,0.9673282,1,0.26379004,0,0.96627384,1,0.093804225,0,0.991028,1,0.99330646,1,0.9859599,1,0.09733358,0,0.022819266,0,0.21753892,0,0.9717559,1,0.9907454,1,0.99153227,1,0.98183846,1,0.12001593,0,0.14773278,0,0.997912,1,0.20154141,0,0.8874902,1,0.08176195,0,0.97541785,1,0.11481646,0,0.99260473,1,0.09930272,0,0.9944804,1,0.8926539,1,0.18205951,0,0.9709353,1,0.26564994,0,0.95007735,1,0.11854253,0,0.961932,1,0.96759516,1,0.13557412,0,0.96204233,1,0.8987039,1,0.97560436,1,0.9203715,1,0.0729574,0,0.96336955,1,0.9589745,1,0.98929507,1,0.9885803,1,0.9810337,1,0.9680283,1,0.18404835,0,0.9903662,1,0.8657525,1,0.09146524,0
0.99182034,1,0.90038055,1,0.20117234,0,0.07166436,0,0.98194224,1,0.97663206,1,0.998691,1,0.17258805,0,0.023536999,0,0.97616404,1,0.86474097,1,0.9691319,1,0.9878918,1,0.9975401,1,0.97478884,1,0.5413188,0,0.97289383,1,0.99636203,1,0.9807268,1,0.84528226,1,0.96817,1,0.24465562,0,0.9874177,1,0.9474723,1,0.99031854,1,0.9602715,1,0.906676,1,0.79481417,1,0.9337695,1,0.9048095,1,0.99535936,1,0.9938543,1,0.15952623,0,0.22019729,0,0.06786185,0,0.98113084,1,0.97803134,1,0.98197377,1,0.08766687,0,0.9736675,1,0.9603292,1,0.9783101,1,0.96874076,1,0.98614776,1,0.95730454,1,0.9777069,1,0.9735441,1,0.9885833,1,0.9788559,1,0.95909363,1
0.19307695,0,0.96168035,1,0.98139787,1,0.98446226,1,0.9778968,1,0.99645364,1,0.98757,1,0.9746533,1,0.97413695,1,0.9985481,1,0.9909202,1,0.835898,1,0.9963343,1,0.99543935,1,0.9808317,1,0.07931251,0,0.12795734,0,0.99865484,1,0.22046787,0,0.9326758,1,0.14748278,0,0.9950879,1,0.9917979,1,0.98382586,1,0.9611965,1,0.78273886,1,0.8932592,1,0.9930797,1,0.95064205,1,0.54047483,1,0.98275477,1,0.95631653,1,0.11458099,0,0.9670963,1,0.99013186,1,0.9910252,1,0.959064,1,0.7918804,1,0.9914703,1,0.93278104,1,0.98346967,1,0.9861578,1,0.2028075,0,0.99528897,1,0.9199506,1,0.9856813,1,0.99354964,1,0.9858866,1,0.9564499,1,0.99203146,1
0.9626057,1,0.9722286,1,0.93862593,1,0.9880518,1,0.99653316,1,0.19689363,0,0.9907004,1,0.9811174,1,0.9765633,1,0.06455219,0,0.9648663,1,0.1225274,0,0.994692,1,0.97315466,1,0.97727716,1,0.98316896,1,0.9570812,1,0.9945971,1,0.863939,1,0.2531427,0,0.9390067,1,0.97463405,1,0.9917346,1,0.11463089,0,0.9378453,1,0.23594172,0,0.92067343,1,0.9675597,1,0.9304702,1,0.93374974,1,0.9957547,1,0.97841007,1,0.8708848,1,0.9712087,1,0.98809624,1,0.9902108,1,0.991282,1,0.98310107,1,0.98324996,1,0.13706823,0,0.91341484,1,0.98967886,1,0.93301666,1,0.6416179,0,0.17647406,0,0.95675516,1,0.9751238,1,0.9413375,1,0.782216,1,0.09459625,0
0.9809229,1,0.96695083,1,0.96116436,1,0.9940135,1,0.991219,1,0.92172134,1,0.9900917,1,0.9805268,1,0.08921128,0,0.99697304,1,0.23517954,0,0.97471344,1,0.9760634,1,0.9834818,1,0.20714594,0,0.18420501,0,0.9800616,1,0.9988372,1,0.9692227,1,0.68488747,0,0.9804186,1,0.0888235,0,0.98921025,1,0.98444134,1,0.9805141,1,0.8821221,1,0.8074138,1,0.9077868,1,0.96205306,1,0.9963378,1,0.9764024,1,0.9930783,1,0.9510492,1,0.1423678,0,0.24396907,0,0.91453767,1,0.28341395,0,0.117780395,0,0.99486923,1,0.85505784,1,0.9782827,1,0.97758603,1,0.9647261,1,0.9733406,1,0.98494995,1,0.10791157,0,0.28308347,0,0.97509676,1,0.95753753,1,0.03384355,0
